Position,Voltage,
2.80,0.164,
2.90,0.244,
3.00,0.390,
3.10,0.524,
3.20,0.552,
3.30,0.435,
3.40,0.272,
3.50,0.190,
3.60,0.338,
3.70,0.697,
3.80,1.044,
3.90,1.179,
4.00,0.964,
4.10,0.540,
4.20,0.246,
4.30,0.336,
4.40,0.836,
4.50,1.424,
4.60,1.784,
4.70,1.579,
4.80,0.978,
4.90,0.398,
5.00,0.276,
5.10,0.748,
5.20,1.514,
5.30,2.032,
5.40,1.946,
5.50,1.314,
5.60,0.584,
5.70,0.270,
5.80,0.564,
5.90,1.231,
6.00,1.771,
6.10,1.818,
6.20,1.345,
6.30,0.718,
6.40,0.288,
6.50,0.352,
6.60,0.734,
6.70,1.168,
6.80,1.287,
6.90,1.050,
7.00,0.611,
7.10,0.289,
7.20,0.214,
7.30,0.371,
7.40,0.569,
7.50,0.639,
7.60,0.535,
7.70,0.348,
7.80,0.193,
7.90,0.130,
8.00,0.148,
8.10,0.183,
8.20,0.186,
8.30,0.156,
8.40,0.112,
8.50,0.082,
8.60,0.067,
8.70,0.057,
8.80,0.040,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
