Position,C1,C2,C3,C4,AvgCount
2.8,90,80,88,74,83
2.9,99,78,100,89,91.5
3,67,90,84,96,84.25
3.1,101,107,113,95,104
3.2,93,83,82,118,94
3.3,116,84,115,101,104
3.4,99,105,109,103,104
3.5,111,125,152,115,125.75
3.6,138,131,118,129,129
3.7,114,99,124,103,110
3.8,78,81,113,100,93
3.9,106,118,121,107,113
4,141,152,156,146,148.75
4.1,180,138,171,174,165.75
4.2,184,152,159,142,159.25
4.3,143,133,149,139,141
4.4,116,106,110,117,112.25
4.5,105,130,93,109,109.25
4.6,164,159,170,161,163.5
4.7,251,238,228,228,236.25
4.8,214,201,220,230,216.25
4.9,191,165,163,163,170.5
5,103,117,133,100,113.25
5.1,122,102,109,111,111
5.2,145,180,194,169,172
5.3,251,222,242,235,237.5
5.4,262,276,255,213,251.5
5.5,193,179,214,196,195.5
5.6,115,109,113,134,117.75
5.7,107,104,110,111,108
5.8,168,166,177,163,168.5
5.9,219,202,218,203,210.5
6,227,245,234,227,233.25
6.1,188,159,193,195,183.75
6.2,138,141,112,141,133
6.3,95,102,105,106,102
6.4,140,134,138,125,134.25
6.5,183,160,180,168,172.75
6.6,194,170,179,173,179
6.7,158,183,129,152,155.5
6.8,133,120,116,120,122.25
6.9,104,90,106,115,103.75
7,116,100,94,93,100.75
7.1,125,152,137,139,138.25
7.2,115,122,127,134,124.5
7.3,124,103,119,128,118.5
7.4,90,89,99,98,94
7.5,114,91,87,75,91.75
7.6,100,110,93,93,99
7.7,88,96,103,99,96.5
7.8,84,100,94,84,90.5
7.9,86,98,89,63,84
8,71,77,81,73,75.5
8.1,92,96,83,75,86.5
8.2,96,82,78,83,84.75
8.3,72,79,77,69,74.25
8.4,75,72,73,63,70.75
8.5,74,76,70,78,74.5
8.6,89,74,60,66,72.25
8.7,87,70,83,74,78.5
8.8,87,75,62,87,77.75
,,,,,
,,,,,
