Position,C1,C2,C3,C4,AvgCount
2.8,142,137,125,138,135.5
2.9,135,142,154,147,144.5
3,139,169,144,168,155
3.1,191,185,172,181,182.25
3.2,208,181,198,202,197.25
3.3,246,231,231,241,237.25
3.4,252,223,251,237,240.75
3.5,270,275,250,256,262.75
3.6,281,296,285,271,283.25
3.7,288,306,310,302,301.5
3.8,356,304,340,345,336.25
3.9,354,325,344,354,344.25
4,380,354,354,362,362.5
4.1,372,368,382,415,384.25
4.2,406,368,355,393,380.5
4.3,399,398,365,431,398.25
4.4,414,407,428,406,413.75
4.5,438,424,457,436,438.75
4.6,471,393,429,482,443.75
4.7,482,402,444,460,447
4.8,435,434,454,432,438.75
4.9,476,444,460,466,461.5
5,412,464,472,425,443.25
5.1,470,436,457,447,452.5
5.2,441,435,429,444,437.25
5.3,421,434,375,416,411.5
5.4,406,463,402,433,426
5.5,433,420,391,410,413.5
5.6,382,364,360,370,369
5.7,359,348,340,385,358
5.8,334,329,375,344,345.5
5.9,304,355,314,332,326.25
6,330,320,304,328,320.5
6.1,314,258,230,301,275.75
6.2,262,259,292,261,268.5
6.3,230,221,249,245,236.25
6.4,201,206,224,224,213.75
6.5,205,190,189,181,191.25
6.6,182,188,179,198,186.75
6.7,155,166,162,155,159.5
6.8,158,162,158,159,159.25
6.9,143,132,125,122,130.5
7,111,138,137,120,126.5
7.1,96,126,88,125,108.75
7.2,104,95,81,98,94.5
7.3,71,93,96,60,80
7.4,86,86,76,61,77.25
7.5,78,74,75,99,81.5
7.6,72,64,82,85,75.75
7.7,68,61,64,61,63.5
7.8,67,55,66,57,61.25
7.9,61,65,64,59,62.25
8,58,64,66,62,62.5
8.1,61,64,66,74,66.25
8.2,64,56,60,58,59.5
8.3,83,66,83,68,75
8.4,79,77,83,75,78.5
8.5,83,69,59,71,70.5
8.6,77,84,70,52,70.75
8.7,65,77,88,68,74.5
8.8,81,85,76,85,81.75
