Position,C1,C2,C3,C4,AvgCount
2.8,80,73,72,72,74.25
2.9,76,77,72,81,76.5
3,77,73,77,77,76
3.1,76,80,78,89,80.75
3.2,75,75,79,84,78.25
3.3,98,67,91,96,88
3.4,85,81,97,104,91.75
3.5,124,92,82,108,101.5
3.6,112,116,115,130,118.25
3.7,151,121,132,161,141.25
3.8,185,178,135,141,159.75
3.9,202,179,205,208,198.5
4,210,194,218,218,210
4.1,264,267,283,250,266
4.2,321,304,295,305,306.25
4.3,325,353,378,319,343.75
4.4,357,352,372,344,356.25
4.5,393,417,429,449,422
4.6,450,487,485,466,472
4.7,535,532,531,511,527.25
4.8,597,592,598,609,599
4.9,640,653,610,679,645.5
5,731,692,633,686,685.5
5.1,671,751,698,665,696.25
5.2,767,801,772,798,784.5
5.3,781,805,877,798,815.25
5.4,861,849,852,911,868.25
5.5,936,913,926,854,907.25
5.6,926,904,926,964,930
5.7,935,934,912,951,933
5.8,986,937,979,1001,975.75
5.9,958,942,1032,993,981.25
6,967,961,1028,953,977.25
6.1,964,982,957,925,957
6.2,944,917,954,1001,954
6.3,954,933,963,974,956
6.4,893,893,893,863,885.5
6.5,833,849,817,866,841.25
6.6,818,844,823,831,829
6.7,781,777,713,823,773.5
6.8,715,728,735,745,730.75
6.9,627,671,704,651,663.25
7,640,629,620,629,629.5
7.1,569,555,548,613,571.25
7.2,504,541,531,522,524.5
7.3,494,447,402,450,448.25
7.4,412,435,424,412,420.75
7.5,423,366,403,376,392
7.6,314,342,324,303,320.75
7.7,312,277,304,283,294
7.8,264,238,250,245,249.25
7.9,229,219,190,193,207.75
8,215,203,192,194,201
8.1,149,174,161,149,158.25
8.2,133,153,127,142,138.75
8.3,100,118,120,112,112.5
8.4,107,97,107,97,102
8.5,106,87,81,99,93.25
8.6,68,89,102,95,88.5
8.7,75,68,77,78,74.5
8.8,68,77,64,68,69.25
